"","screen_name","user_id","created_at","status_id","text","retweet_count","favorite_count","is_quote_status","quote_status_id","is_retweet","retweet_status_id","in_reply_to_status_status_id","in_reply_to_status_user_id","in_reply_to_status_screen_name","lang","source","media_id","media_url","media_url_expanded","urls","urls_display","urls_expanded","mentions_screen_name","mentions_user_id","symbols","hashtags","coordinates","place_id","place_type","place_name","place_full_name","country_code","country","bounding_box_coordinates","bounding_box_type","stripped_text"
"2715","soft_products","261544339",2017-09-18 00:08:15,"909569723922288641","JOHN DEERE 48 "" MECHANICAL TILLER 318 332 420 430 (Very little use / nice shape https://t.co/WLmiVUTR4n",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","IFTTT",NA,NA,NA,NA,"anoubis.feuersun.info/US/categories/…","http://anoubis.feuersun.info/US/categories/twt/?item=202058174476",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JOHN DEERE 48 "" MECHANICAL TILLER 318 332 420 430 (Very little use / nice shape "
"2716","SarahASimon","617340735",2017-09-18 00:05:54,"909569132709818370","@lauracarno One day over a glass of wine <f0><U+009F><U+008D><U+00B7> I'll tell you the story about how I bashed up the front end steering on… https://t.co/e5rJbY4kWB",0,0,FALSE,NA,FALSE,NA,"909567942001434624","18803462","lauracarno","en","Twitter for iPhone",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/909569132709818370","lauracarno","18803462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"@lauracarno One day over a glass of wine <ed><U+00A0><U+00BC><ed><U+00BD><U+00B7> I'll tell you the story about how I bashed up the front end steering on… "
"2717","tonyrichards4","25333353",2017-09-18 00:01:00,"909567899773263872","How John Deere’s New AI Lab Is Designing Farm Equipment For A More Sustainable Future https://t.co/xvVyUqqBWd #CEO #leadership #business",0,1,FALSE,NA,FALSE,NA,NA,NA,NA,"en","TweetDeck",NA,NA,NA,NA,"fastcompany.com/40464024/how-j…","https://www.fastcompany.com/40464024/how-john-deeres-new-ai-lab-is-designing-farm-equipment-for-more-sustainable-future",NA,NA,NA,"CEO leadership business",NA,NA,NA,NA,NA,NA,NA,NA,NA,"How John Deere’s New AI Lab Is Designing Farm Equipment For A More Sustainable Future "
"2718","949NowPlaying","178175443",2017-09-17 23:58:30,"909567270896234496","John Cougar, John Deere, John 316 by Keith Urban #nowplaying #949StarCountry",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","twtcmd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"nowplaying 949StarCountry",NA,NA,NA,NA,NA,NA,NA,NA,NA,"John Cougar, John Deere, John 316 by Keith Urban #nowplaying #949StarCountry"
"2719","LA_County_Jobs","825769378603937792",2017-09-17 23:53:02,"909565894304530433","https://t.co/TicZ3ldV8k",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"und","WordPress.com",NA,NA,NA,NA,"la.find-local-jobs.com/2017/09/17/cla…","http://la.find-local-jobs.com/2017/09/17/class-a-cdl-otr-driver-davenport-ia-john-deere-0-51mile/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2720","hotDesksMD","607353889",2017-09-17 23:52:22,"909565726859649027","How John Deere’s New AI Lab Is Designing Farm Equipment For A More Sustainable Future https://t.co/GamvUpINia",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for Android",NA,NA,NA,NA,"fastcompany.com/40464024/how-j…","https://www.fastcompany.com/40464024/how-john-deeres-new-ai-lab-is-designing-farm-equipment-for-more-sustainable-future",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"How John Deere’s New AI Lab Is Designing Farm Equipment For A More Sustainable Future "
"2721","jbcollectables","134245624",2017-09-17 23:47:22,"909564467972775936","Check out 17 Hp Briggs &amp; Stratton Intek Engine Off John Deere Sabre Riding Mower 7311777  https://t.co/yRELC6jfFr via @eBayww",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,"ebay.com/itm/-/11255237…","http://www.ebay.com/itm/-/112552371340?roken=cUgayN&soutkn=CxPaUx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Check out 17 Hp Briggs &amp; Stratton Intek Engine Off John Deere Sabre Riding Mower 7311777  "
"2722","betuadollar","443178701",2017-09-17 23:42:06,"909563141587177472","@thebradfordfile He could buy a John Deere and cut it himself, that would really freak people out.",0,0,FALSE,NA,FALSE,NA,"909514005399654400","3406938525","thebradfordfile","en","Twitter Web Client",NA,NA,NA,NA,NA,NA,"thebradfordfile","3406938525",NA,NA,NA,"94965b2c45386f87","admin","New York","New York, USA","US","United States","-79.76259 -71.777492 -71.777492 -79.76259 40.477383 40.477383 45.015851 45.015851","Polygon","@thebradfordfile He could buy a John Deere and cut it himself, that would really freak people out."
"2723","Ikihome_deere_","766996257248194560",2017-09-17 23:38:44,"909562296514396161","<U+6687><U+3060><U+3001><U+3068><U+304B><U+601D><U+3048><U+308B><U+3053><U+3068><U+3082><U+3001><U+751F><U+304D><U+3066><U+308B><U+8A3C><U+306A><U+3093><U+3060><U+305C>………<U+3002>",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"ja","twittbot.net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<U+6687><U+3060><U+3001><U+3068><U+304B><U+601D><U+3048><U+308B><U+3053><U+3068><U+3082><U+3001><U+751F><U+304D><U+3066><U+308B><U+8A3C><U+306A><U+3093><U+3060><U+305C>………<U+3002>"
"2724","Mendozam","17783165",2017-09-17 23:38:07,"909562138980524032","Check out John Deere Metal Produce Scale, New, Free US Shipping, Kitchen Scale #JohnDeere https://t.co/YLfnFwcGAW via @eBay",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,"ebay.com/itm/-/25315583…","http://www.ebay.com/itm/-/253155834005?roken=cUgayN&soutkn=6YDbZQ","eBay","19709040",NA,"JohnDeere",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Check out John Deere Metal Produce Scale, New, Free US Shipping, Kitchen Scale #JohnDeere "
